transaction_id,date,region,channel,customer_id,customer_segment,product_id,product_name,product_category,quantity,unit_price,unit_cost,revenue,gross_profit,month,year,quarter
T000001,2024-04-12,関東,EC,C0164,個人,P008,ポータブル電源,現場用品,1,62000,44000,62000,18000,2024-04,2024,Q2
T000002,2025-03-11,近畿,EC,C0190,中小企業,P004,ドローンバッテリー,ドローン,4,26600,18000,106400,34400,2025-03,2025,Q1
T000003,2024-09-27,東北,店舗,C0058,個人,P003,測量用GNSS受信機,計測機器,2,617500,510000,1235000,215000,2024-09,2024,Q3
T000004,2024-04-16,東北,EC,C0027,個人,P005,ヘルメット,安全用品,2,6800,4200,13600,5200,2024-04,2024,Q2
T000005,2024-03-12,関東,店舗,C0152,中小企業,P009,耐水メモ帳,文具,1,931,520,931,411,2024-03,2024,Q1
T000006,2025-12-01,関東,EC,C0008,中小企業,P010,ワークグローブ,安全用品,3,1200,650,3600,1650,2025-12,2025,Q4
T000007,2024-01-21,北海道,店舗,C0060,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2024-01,2024,Q1
T000008,2025-09-06,中国,EC,C0007,個人,P004,ドローンバッテリー,ドローン,1,27160,18000,27160,9160,2025-09,2025,Q3
T000009,2024-05-01,関東,法人,C0184,中小企業,P003,測量用GNSS受信機,計測機器,1,585000,510000,585000,75000,2024-05,2024,Q2
T000010,2025-04-11,近畿,法人,C0140,個人,P009,耐水メモ帳,文具,1,882,520,882,362,2025-04,2025,Q2
T000011,2024-08-02,関東,店舗,C0115,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2024-08,2024,Q3
T000012,2024-11-26,関東,店舗,C0208,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2024-11,2024,Q4
T000013,2025-04-03,九州,店舗,C0179,中小企業,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2025-04,2025,Q2
T000014,2024-03-28,関東,店舗,C0072,個人,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2024-03,2024,Q1
T000015,2025-01-07,中部,店舗,C0196,個人,P008,ポータブル電源,現場用品,2,62000,44000,124000,36000,2025-01,2025,Q1
T000016,2024-04-09,関東,EC,C0024,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2024-04,2024,Q2
T000017,2025-10-25,近畿,店舗,C0092,個人,P003,測量用GNSS受信機,計測機器,1,650000,510000,650000,140000,2025-10,2025,Q4
T000018,2024-05-10,北海道,法人,C0207,中小企業,P004,ドローンバッテリー,ドローン,1,25200,18000,25200,7200,2024-05,2024,Q2
T000019,2025-10-23,近畿,EC,C0118,中小企業,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2025-10,2025,Q4
T000020,2024-11-04,東北,店舗,C0237,個人,P005,ヘルメット,安全用品,1,6800,4200,6800,2600,2024-11,2024,Q4
T000021,2026-02-08,近畿,EC,C0142,個人,P010,ワークグローブ,安全用品,2,1200,650,2400,1100,2026-02,2026,Q1
T000022,2024-12-09,近畿,店舗,C0161,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2024-12,2024,Q4
T000023,2025-05-06,関東,店舗,C0221,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2025-05,2025,Q2
T000024,2025-02-17,北海道,EC,C0050,中小企業,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2025-02,2025,Q1
T000025,2025-01-20,関東,EC,C0170,個人,P002,現場用タブレット,IT機器,2,98000,72000,196000,52000,2025-01,2025,Q1
T000026,2024-07-10,中部,店舗,C0075,個人,P006,安全ベスト,安全用品,3,3200,1900,9600,3900,2024-07,2024,Q3
T000027,2024-10-03,中部,EC,C0222,個人,P002,現場用タブレット,IT機器,2,98000,72000,196000,52000,2024-10,2024,Q4
T000028,2024-06-09,関東,店舗,C0072,個人,P005,ヘルメット,安全用品,1,6800,4200,6800,2600,2024-06,2024,Q2
T000029,2025-04-04,近畿,店舗,C0214,中小企業,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2025-04,2025,Q2
T000030,2024-11-09,関東,EC,C0095,中小企業,P005,ヘルメット,安全用品,2,6800,4200,13600,5200,2024-11,2024,Q4
T000031,2024-01-22,中国,EC,C0172,個人,P010,ワークグローブ,安全用品,1,1200,650,1200,550,2024-01,2024,Q1
T000032,2024-09-09,東北,法人,C0240,大企業,P008,ポータブル電源,現場用品,1,49600,44000,49600,5600,2024-09,2024,Q3
T000033,2026-01-17,北海道,EC,C0156,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2026-01,2026,Q1
T000034,2025-07-14,関東,店舗,C0137,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2025-07,2025,Q3
T000035,2025-04-19,関東,法人,C0119,中小企業,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2025-04,2025,Q2
T000036,2024-02-28,東北,EC,C0237,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2024-02,2024,Q1
T000037,2025-05-25,近畿,EC,C0143,個人,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2025-05,2025,Q2
T000038,2025-11-12,北海道,店舗,C0084,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2025-11,2025,Q4
T000039,2025-04-20,中国,店舗,C0059,中小企業,P009,耐水メモ帳,文具,1,980,520,980,460,2025-04,2025,Q2
T000040,2025-11-30,関東,法人,C0103,中小企業,P001,高耐久ノートPC,IT機器,3,128250,98000,384750,90750,2025-11,2025,Q4
T000041,2024-07-08,中国,店舗,C0055,中小企業,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2024-07,2024,Q3
T000042,2025-11-17,四国,店舗,C0055,中小企業,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2025-11,2025,Q4
T000043,2025-07-16,九州,法人,C0227,個人,P007,レーザー距離計,計測機器,1,44200,36000,44200,8200,2025-07,2025,Q3
T000044,2025-07-20,関東,店舗,C0037,個人,P006,安全ベスト,安全用品,3,3200,1900,9600,3900,2025-07,2025,Q3
T000045,2024-08-31,近畿,EC,C0064,中小企業,P002,現場用タブレット,IT機器,4,98000,72000,392000,104000,2024-08,2024,Q3
T000046,2025-05-19,四国,EC,C0192,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2025-05,2025,Q2
T000047,2024-05-10,東北,EC,C0230,個人,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2024-05,2024,Q2
T000048,2025-04-29,四国,店舗,C0093,個人,P006,安全ベスト,安全用品,1,3200,1900,3200,1300,2025-04,2025,Q2
T000049,2025-10-08,関東,EC,C0036,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2025-10,2025,Q4
T000050,2024-01-21,東北,EC,C0024,個人,P003,測量用GNSS受信機,計測機器,3,650000,510000,1950000,420000,2024-01,2024,Q1
T000051,2024-06-15,中国,法人,C0040,中小企業,P008,ポータブル電源,現場用品,2,52700,44000,105400,17400,2024-06,2024,Q2
T000052,2024-09-30,東北,法人,C0203,大企業,P001,高耐久ノートPC,IT機器,2,114750,98000,229500,33500,2024-09,2024,Q3
T000053,2025-01-22,東北,店舗,C0099,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2025-01,2025,Q1
T000054,2025-08-23,近畿,店舗,C0120,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2025-08,2025,Q3
T000055,2024-11-11,北海道,店舗,C0142,個人,P006,安全ベスト,安全用品,2,3200,1900,6400,2600,2024-11,2024,Q4
T000056,2024-01-14,近畿,店舗,C0175,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2024-01,2024,Q1
T000057,2024-08-29,中部,EC,C0197,個人,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2024-08,2024,Q3
T000058,2026-02-15,中部,店舗,C0029,中小企業,P006,安全ベスト,安全用品,3,3200,1900,9600,3900,2026-02,2026,Q1
T000059,2024-12-11,近畿,店舗,C0041,個人,P005,ヘルメット,安全用品,1,6800,4200,6800,2600,2024-12,2024,Q4
T000060,2025-07-18,近畿,EC,C0185,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2025-07,2025,Q3
T000061,2024-12-05,東北,EC,C0129,個人,P006,安全ベスト,安全用品,2,3200,1900,6400,2600,2024-12,2024,Q4
T000062,2024-04-01,北海道,店舗,C0223,個人,P006,安全ベスト,安全用品,1,3200,1900,3200,1300,2024-04,2024,Q2
T000063,2025-01-01,中国,店舗,C0216,個人,P003,測量用GNSS受信機,計測機器,3,650000,510000,1950000,420000,2025-01,2025,Q1
T000064,2025-03-30,北海道,店舗,C0156,個人,P006,安全ベスト,安全用品,2,3200,1900,6400,2600,2025-03,2025,Q1
T000065,2025-03-03,北海道,店舗,C0096,個人,P002,現場用タブレット,IT機器,1,93100,72000,93100,21100,2025-03,2025,Q1
T000066,2025-05-23,中部,店舗,C0154,個人,P008,ポータブル電源,現場用品,1,62000,44000,62000,18000,2025-05,2025,Q2
T000067,2026-02-14,近畿,法人,C0005,個人,P002,現場用タブレット,IT機器,1,88200,72000,88200,16200,2026-02,2026,Q1
T000068,2024-02-04,近畿,EC,C0093,個人,P006,安全ベスト,安全用品,1,3200,1900,3200,1300,2024-02,2024,Q1
T000069,2024-07-24,北海道,法人,C0062,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2024-07,2024,Q3
T000070,2024-03-21,関東,EC,C0225,大企業,P009,耐水メモ帳,文具,2,902,520,1804,764,2024-03,2024,Q1
T000071,2025-07-15,中部,店舗,C0021,個人,P003,測量用GNSS受信機,計測機器,1,650000,510000,650000,140000,2025-07,2025,Q3
T000072,2025-01-22,関東,法人,C0125,中小企業,P003,測量用GNSS受信機,計測機器,1,585000,510000,585000,75000,2025-01,2025,Q1
T000073,2024-01-02,関東,店舗,C0033,中小企業,P005,ヘルメット,安全用品,2,6800,4200,13600,5200,2024-01,2024,Q1
T000074,2025-01-24,北海道,店舗,C0068,個人,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2025-01,2025,Q1
T000075,2025-07-19,北海道,店舗,C0156,個人,P002,現場用タブレット,IT機器,3,98000,72000,294000,78000,2025-07,2025,Q3
T000076,2024-04-15,中部,法人,C0055,中小企業,P004,ドローンバッテリー,ドローン,3,26600,18000,79800,25800,2024-04,2024,Q2
T000077,2026-02-10,関東,EC,C0183,個人,P008,ポータブル電源,現場用品,1,62000,44000,62000,18000,2026-02,2026,Q1
T000078,2025-04-21,中国,店舗,C0172,個人,P006,安全ベスト,安全用品,1,3200,1900,3200,1300,2025-04,2025,Q2
T000079,2025-12-03,九州,店舗,C0113,中小企業,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2025-12,2025,Q4
T000080,2025-02-05,関東,EC,C0031,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2025-02,2025,Q1
T000081,2025-12-30,関東,店舗,C0017,中小企業,P009,耐水メモ帳,文具,1,980,520,980,460,2025-12,2025,Q4
T000082,2025-07-09,近畿,店舗,C0151,個人,P008,ポータブル電源,現場用品,4,62000,44000,248000,72000,2025-07,2025,Q3
T000083,2024-06-10,近畿,店舗,C0151,個人,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2024-06,2024,Q2
T000084,2024-07-20,北海道,EC,C0019,中小企業,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2024-07,2024,Q3
T000085,2024-09-26,中国,法人,C0059,中小企業,P008,ポータブル電源,現場用品,1,53940,44000,53940,9940,2024-09,2024,Q3
T000086,2024-09-27,東北,店舗,C0009,個人,P003,測量用GNSS受信機,計測機器,1,650000,510000,650000,140000,2024-09,2024,Q3
T000087,2025-03-31,近畿,EC,C0132,個人,P009,耐水メモ帳,文具,1,931,520,931,411,2025-03,2025,Q1
T000088,2025-04-06,中国,EC,C0172,個人,P005,ヘルメット,安全用品,3,6800,4200,20400,7800,2025-04,2025,Q2
T000089,2025-12-27,関東,EC,C0139,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2025-12,2025,Q4
T000090,2024-09-08,九州,店舗,C0240,大企業,P004,ドローンバッテリー,ドローン,1,26600,18000,26600,8600,2024-09,2024,Q3
T000091,2025-12-02,四国,EC,C0063,個人,P007,レーザー距離計,計測機器,2,52000,36000,104000,32000,2025-12,2025,Q4
